,gender,year,education,value,se
219,female,2019,some_college,40810,272
131,female,2019,some_high,26740,337
43,female,2019,total,49680,413
307,female,2019,total_high_edu,62480,893
220,male,1990,AA,.,.
308,male,1990,Bachelor,39240,.
132,male,1990,High school,26650,.
44,male,1990,Less than 9th grade,17390,.
440,male,1990,doctor,.,.
352,male,1990,master,.,.
396,male,1990,professional,.,.
176,male,1990,some_college,31730,.
88,male,1990,some_high,20900,.
0,male,1990,total,30730,.
264,male,1990,total_high_edu,42670,.
221,male,1995,AA,35200,535
309,male,1995,Bachelor,45270,510
133,male,1995,High school,29510,358
45,male,1995,Less than 9th grade,18350,545
441,male,1995,doctor,65340,2188
353,male,1995,master,55220,973
397,male,1995,professional,79670,2582
177,male,1995,some_college,33880,517
89,male,1995,some_high,22190,342
1,male,1995,total,34550,275
265,male,1995,total_high_edu,50480,312
222,male,2000,AA,41950,460
310,male,2000,Bachelor,56330,573
134,male,2000,High school,34300,457
46,male,2000,Less than 9th grade,20790,376
442,male,2000,doctor,80250,2446
354,male,2000,master,68320,1506
398,male,2000,professional,99410,20832
178,male,2000,some_college,40340,312
90,male,2000,some_high,25100,436
2,male,2000,total,41060,156
266,male,2000,total_high_edu,61870,303
223,male,2001,AA,42780,561
311,male,2001,Bachelor,55930,335
135,male,2001,High school,34720,299
47,male,2001,Less than 9th grade,21360,235
443,male,2001,doctor,86970,3013
355,male,2001,master,70900,687
399,male,2001,professional,100000,.
179,male,2001,some_college,41050,214
91,male,2001,some_high,26210,251
3,male,2001,total,41620,104
267,male,2001,total_high_edu,62220,279
224,male,2002,AA,42860,673
312,male,2002,Bachelor,56080,385
136,male,2002,High school,33210,311
48,male,2002,Less than 9th grade,20920,213
444,male,2002,doctor,83310,2076
356,male,2002,master,67280,1294
400,male,2002,professional,100000,.
180,male,2002,some_college,40850,195
92,male,2002,some_high,25900,207
4,male,2002,total,41150,100
268,male,2002,total_high_edu,61700,201
225,male,2003,AA,42870,719
313,male,2003,Bachelor,56500,365
137,male,2003,High school,35410,168
49,male,2003,Less than 9th grade,21220,227
445,male,2003,doctor,87130,2528
